Season,Episode,Scene,Character,Line
9,1,0,THE VOICE,"Written by Alec Berg, Jeff Schaffer & David Mandel"
9,1,1,THOMASSOULO,"George, you're not really handicapped, are you?"
9,1,1,GEORGE,I've had my difficulties.
9,1,1,THOMASSOULO,I saw you running down Amsterdam Avenue lifting that 200 pound motorized cart with one hand.
9,1,1,GEORGE,"Mr. Thomassoulo during times of great stress, people are capable of super human strength. Have you ever seen the Incredible Hulk, sir?"
9,1,1,THOMASSOULO,No
9,1,1,GEORGE,How about the old Spider Man live action show?
9,1,1,THOMASSOULO,"George, I've realized we've signed a one-year contract with you, but at this point I think it's best that we both go our separate ways."
9,1,1,GEORGE,I don't understand.
9,1,1,THOMASSOULO,We don't like you. We want you to leave.
9,1,1,GEORGE,Clearer
9,1,2,JERRY,So you're staying at Play Now?
9,1,2,GEORGE,"Why not? Pay is good. I got dental, private access to one of the great handicapped toilets in the city."
9,1,2,JERRY,"But they not you aren't handicapped, aren't you ashamed?"
9,1,2,GEORGE,"They're the ones who should be ashamed. They signed me to a one-year contract. As long as I show up for work every day, they have to pay me."
9,1,3,ELAINE,Hey
9,1,3,JERRY & GEORGE,Hello-o-o-o!
9,1,3,GEORGE,Hello-o-o-o Elaine!
9,1,3,ELAINE,What's that?
9,1,3,JERRY,"Oh, it's just this stupid thing."
9,1,3,ELAINE,"Well, I'm sure it's stupid. It's not about me, is it?"
9,1,3,JERRY,No-o-o-o.
9,1,3,GEORGE,Not at all.
9,1,3,ELAINE,Tell me!
9,1,3,JERRY,All right. You know this girl Clare I am seeing?
9,1,3,ELAINE,Yeah.
9,1,3,JERRY,"Well, he and I starting joking that when she falls asleep her stomach stays awake all night and talks to me."
9,1,3,ELAINE,How is it talking?
9,1,3,JERRY,"Well, her belly button is like a mouth. I'm bored. Talk to me."
9,1,3,ELAINE,"Oh I gotta start taking these ""stupid"" warnings more seriously."
9,1,4,JERRY,"Hey, look whose here - Puddy."
9,1,4,ELAINE,My Puddy? But we broke up.
9,1,4,JERRY,And yet he continues to live.
9,1,5,PUDDY,"Hey Benes, How are you?"
9,1,5,ELAINE,I'm doing great.
9,1,5,PUDDY,Great. See ya.
9,1,5,JERRY,"Well, that's it. You two are back together."
9,1,5,ELAINE,What?
9,1,5,JERRY,The bump into. The bump into always leads to the backslide.
9,1,5,ELAINE,David and I will not be getting back together.
9,1,5,JERRY,"Elaine, breaking up is like knocking over a coke machine. You can't do it in one push, you got to rock it back and forth a few times, and then it goes over."
9,1,5,GEORGE,That's beautiful.
9,1,5,ELAINE,"What about you? You were even engaged, and you cut it off just like that."
9,1,5,JERRY,"That's different. I didn't have feelings for those people. But you, you'll backslide"
9,1,5,ELAINE,You want to bet?
9,1,5,JERRY,Stakes?
9,1,5,JERRY,Dollars?
9,1,5,ELAINE,All right. Witness? .
9,1,5,GEORGE,Witness.
9,1,5,JERRY,Done.
9,1,5,GEORGE,Percentage?
9,1,5,JERRY & ELAINE,No.
9,1,6,CLARE,So I'll call you tonight?
9,1,6,JERRY,Yeah.
9,1,6,CLARE,What's wrong with the belt?
9,1,6,JERRY,"I went to the movies last night, I went to the bathroom and I unbuckled a little wobbly and the buckle kind of banged against the side of the urinal. So... that's it!"
9,1,6,CLARE,"So, you're insane?"
9,1,6,JERRY,"Oh yes, quite."
9,1,7,KRAMER,Hello!
9,1,7,JERRY,Of course it's a sliding scale.
9,1,7,CLARE,Catch you later.
9,1,7,KRAMER & JERRY,Hello-o-o-o!
9,1,7,JERRY,La la la.
9,1,7,KRAMER,La la la.
9,1,8,KRAMER,"Look at this, they are redoing the Cloud Club."
9,1,8,JERRY,"Oh, that restaurant on top of the Chrysler building? Yeah, that's a good idea."
9,1,8,KRAMER,"Of course it's a good idea, it's my idea. I conceived this whole project two years ago."
9,1,8,JERRY,Which part? The renovating the restaurant you don't own part or spending the two hundred million you don't have part?
9,1,8,KRAMER,"You see I come up with these things, I know they're gold, but nothing happens. You know why?"
9,1,8,JERRY,"No resources, no skill, no talent, no ability, no brains."
9,1,8,KRAMER,"No, no...time! It's all this meaningless time. Laundry, grocery, shopping, coming in here talking to you. Do you have any idea how much time I waste in this apartment?"
9,1,8,JERRY,I can ball park it.
9,1,9,ELAINE,Hello-o-o-o!
