Season,Episode,Scene,Character,Line
1,2,0,FUTURAMA,Episode 103
1,2,0,"""I, ROBOT""","By Eric Horsted Transcribed by Dave, The Neutral Planet"
1,2,0,BENDER,Hey!
1,2,0,HERMES,"Fry, mon, if you're going to be living in the office you could at least be on time for work."
1,2,0,FRY,I'm sorry. I was up really late poking through people's desks.
1,2,0,HERMES,"Alright, people. I will now outline today's 12-point agenda. We'll begin with point one then race forward --"
1,2,2,HERMES,"Concerning our pest problem: Somebody's been leaving food around and it's attracting owls. And I, for one, am getting tired of cleaning those owl traps. Now......as this shocking graph indicates, our water consumption has tripled in the last month. I notice Fry has been here for a month, so I'm appointing him head of a committee to find who's responsible. Fry? Am I cracking up, or is Fry's living here starting to get in the way of bus -"
1,2,2,LEELA,What the hell are you doing?! You're getting a huge dose of radiation!
1,2,2,FRY,And great lift!
1,2,2,LEELA,Do you know how long it's going to take me to recalibrate these engines?
1,2,2,FRY,"Hey, when you look this good, you don't have to know anything."
1,2,2,LEELA,"Professor, We need to talk to you about Fry."
1,2,2,BENDER,"That's right, we want some money -- wait, what's this about Fry?"
1,2,2,LEELA,He's a nice guy but we think it's about time he got his own place.
1,2,2,FARNSWORTH,"Oh, fuff! He's not causing any trouble. Now, if you don't mind, I'm rather busy. I seem to have mislaid my alien mummy. This sarcophagus should contain the remains of Emperor Nimballa, who ruled Zubin 5 over 29 million years ago."
1,2,2,FRY,"Hey, Professor, great jerky!"
1,2,2,FARNSWORTH,"My God, this is an outrage! I was going to eat that mummy! Fry has got to go!"
1,2,2,,[Planet Express: Lounge. Fry is slumped back on the couch watching
1,2,2,ANNOUNCER,Bachelor chow: Now with flavour!
1,2,2,COMMENTATOR,And Bigfoot is down!
1,2,2,FRY,"Sheesh! 40,000 channels and only 150 have anything good on."
1,2,2,ANNOUNCER,"All My Circuits is brought to you by Robo Fresh: Designed by a robot, for a robot."
1,2,2,CALCULON,"I've been processing this for some time, Monique, and well, will you marry me?"
1,2,2,MONIQUE,"Oh, Calculon! It fits! Then you must know that I'm --"
1,2,2,CALCULON,"Metric? I've always known. But for you, my darling, I'm willing to convert."
1,2,2,FRY,"Hmm, must be a friend of theirs."
1,2,2,BENDER,"Fry, we've got to discuss your living arrangements."
1,2,2,LEELA,We've all talked it over and --
1,2,2,BENDER,"Hey, All My Circuits! Move over. Ahh!"
1,2,2,LEELA,"Fry, sometimes in close quarters, people do inconsiderate things without realising it."
1,2,2,FRY,I know but I forgive you.
1,2,2,LEELA,"No, Fry, by ""close quarters"" I mean this office..."
1,2,2,FRY,Uh-huh.
1,2,2,LEELA,"...and by ""people"" I mean you!"
1,2,2,FRY,Right.
1,2,2,LEELA,"And by ""inconsiderate"" I mean --"
1,2,2,FRY,Leela! We're trying to watch TV.
