Season,Episode,Scene,Character,Line
0,45,0,STARGATE SG1,Episode 303
0,45,0,"""FAIR GAME""","By Robert C. Cooper The Gateroom Hammond is standing at the top of the ramp talking to SG1, who are standing down the side of the ramp, and other personnel standing in the Gateroom."
0,45,0,HAMMOND,"You have fought with valour and courage, sacrificed for each other, for this country, for this planet. To honour the men and women of the SGC, I present Arthur Simms, the Secretary of Defense of the United States of America."
0,45,0,SIMMS,"Since the re-inception of this programme, I have eagerly awaited every word of every mission report stemming from this base like a wide eyed child waiting for his next bed time story. Not actually being here, seeing your faces or this Stargate here behind me it is sometimes easy to forget that it's all really happening. The President regrets not being able to be here but I'm glad because it gives me the opportunity to congratulate you on your recent effort in defeating a formidable enemy and rescuing SG1, captured in the line of duty. You risk your lives every day in a way more dangerous and fantastic than any of us could have ever dreamed. Understand that I represent every person of this great nation when I salute your ongoing heroic spirit. You should be proud."
0,45,0,HAMMOND,"Before we finish today I have one other small bit of business. Please come to attention. From the Vice Chief of Staff of the Air Force in recognition of Captain Samantha Carter's outstanding work I hereby authorise her immediate promotion to the rank of major. Captain, step forward."
0,45,1,HAMMOND,The United States Air Force recognises that you have fulfilled tasks and duties well beyond the responsibility of captain.
0,45,2,HAMMOND,"It is with great pleasure that I bestow upon you the responsibilities, the respect and the rank of Major."
0,45,2,CARTER,Thank you Sir. Sam salutes Hammond and turns to Jack who shakes her hand and salutes as well.
0,45,2,O'NEILL,Well done Major.
0,45,3,HAMMOND,"In closing, Major Carter's supervisor, Colonel Jack O'Neill would like to say a few words."
0,45,4,O'NEILL,"Normally, I am a man of very few words. A bright light suddenly appears and engulfs Jack, beaming him somewhere."
0,45,4,HAMMOND,Code Nine!
0,45,5,O'NEILL,"And in conclusion, I'd like to say.."
0,45,6,THOR,Greetings Jack O'Neill.
0,45,6,O'NEILL,Greetings. Have we met?
0,45,6,THOR,I am Thor.
0,45,7,THOR,"I apologise for taking you by surprise, but I have come on a matter of great importance."
0,45,7,O'NEILL,"We're in orbit around Earth, right?"
0,45,7,THOR,Yes.
0,45,7,O'NEILL,"You know, we have satellites and telescopes that can see things like space ships."
0,45,7,THOR,Our ships have never been detected in orbit around Earth before.
0,45,7,O'NEILL,Hm. All right. I'm sorry. You were saying something. A matter of great importance?
0,45,7,THOR,We received word of what transpired with your people and the goa'uld named Hathor.
0,45,7,O'NEILL,She had it coming.
